nm,sc,mc,lc,rh,mel,v
459,0.839198000,0.186117000,0.102964000,0.557000000,0.692409000,0.057458720000
460,0.823726000,0.193202000,0.106663000,0.567000000,0.708049000,0.060000000000
461,0.808307000,0.200621000,0.110629000,0.578000000,0.723594000,0.062601970000
462,0.792431000,0.208315000,0.114828000,0.588000000,0.739105000,0.065277520000
463,0.775569000,0.216212000,0.119217000,0.599000000,0.754560000,0.068042080000
464,0.757244000,0.224231000,0.123740000,0.610000000,0.769938000,0.070911090000
465,0.737043000,0.232275000,0.128336000,0.620000000,0.785216000,0.073900000000
466,0.714730000,0.240257000,0.132947000,0.631000000,0.800683000,0.077016000000
467,0.690558000,0.248160000,0.137570000,0.642000000,0.816354000,0.080266400000
468,0.664890000,0.255987000,0.142218000,0.653000000,0.831798000,0.083666800000
469,0.638078000,0.263744000,0.146905000,0.664000000,0.846587000,0.087232800000
470,0.610456000,0.271441000,0.151651000,0.676000000,0.860291000,0.090980000000
471,0.582346000,0.279097000,0.156475000,0.687000000,0.872925000,0.094917550000
472,0.554065000,0.286755000,0.161404000,0.699000000,0.884870000,0.099045840000
473,0.525903000,0.294476000,0.166464000,0.710000000,0.896242000,0.103367400000
474,0.498108000,0.302323000,0.171690000,0.722000000,0.907158000,0.107884600000
475,0.470894000,0.310372000,0.177116000,0.734000000,0.917734000,0.112600000000
476,0.444450000,0.318692000,0.182777000,0.745000000,0.928345000,0.117532000000
477,0.418992000,0.327307000,0.188685000,0.757000000,0.938950000,0.122674400000
478,0.394699000,0.336232000,0.194845000,0.769000000,0.949035000,0.127992800000
479,0.371707000,0.345480000,0.201261000,0.781000000,0.958091000,0.133452800000
480,0.350108000,0.355066000,0.207940000,0.793000000,0.965605000,0.139020000000
481,0.329904000,0.364985000,0.214875000,0.805000000,0.971976000,0.144676400000
482,0.310864000,0.375142000,0.222022000,0.817000000,0.977833000,0.150469300000
483,0.292741000,0.385410000,0.229316000,0.828000000,0.983006000,0.156461900000
484,0.275338000,0.395646000,0.236684000,0.840000000,0.987325000,0.162717700000
485,0.258497000,0.405688000,0.244046000,0.851000000,0.990621000,0.169300000000
486,0.242158000,0.415435000,0.251347000,0.862000000,0.993343000,0.176243100000
487,0.226504000,0.425064000,0.258695000,0.873000000,0.995887000,0.183558100000
